coroner_name,count
Ms Alison Patricia Mutch OBE,232
Ms Mary Hassell,182
Ms Nadia Persaud,91
Mr Professor John S Pollard,88
Mr Tom Osborne,85
Mrs Jacqueline F Lake,79
Mr Andrew Cox,78
Mrs Louise Hunt,77
Mr Chris Morris,72
Mr Andrew Harris,69
Mr John Gittins,69
Mr graeme Irvine,64
Miss Veronica HAMILTON-DEELEY,63
Mr Andrew Walker,60
Mrs lydia brown,60
Mr Kevin McLoughlin,57
Ms Joanne Kearsley,56
Mr Zafar Siddique,55
Dr Fiona Jane Wilcox,53
Mrs Heidi Julia Connor,52
Mr Martin Dominic Fleming,52
Mr Andrew Adrian Haigh,50
Mrs Maria Eileen Voisin,46
Ms Caroline Saunders,46
Ms Penelope Schofield,46
Ms Sonia Marie Hayes,45
Miss Emma Brown,44
Mrs Rachael Clare Griffin,44
Ms Lisa Jeanette Hashmi,42
Mr Alan Wilson,40
